BHK,Type,Purpose,Location,Latitude,Longitude,City,furnishing,Bathroom,tenant_preferred,carpet_area,floor,direction,overlooking,society,amount
3,Builder,Rent,in New Rajendra Nagar New Delhi              ,28.528041,77.217492,new delhi,Furnished,3,Bachelors,1150 sqft,3 out of 4,Garden/Park,3,,"70,000"
4,Builder,Rent,in Sector 8 Dwarka New Delhi              ,28.592705,77.065989,new delhi,Semi-Furnished,4,Bachelors,1800 sqft,2 out of 4,North - East,Main Road,,"45,000"
4,Builder,Rent,in Defence Colony New Delhi               ,28.5643603,77.20987194,new delhi,Semi-Furnished,4,Bachelors/Family,2400 sqft,1 out of 4,West,Garden/Park,,300000
2,Apartment,Rent,Vasant Vihar New Delhi                ,28.557827,77.1611168,new delhi,Furnished,2,Bachelors/Family,1500 sqft,1 out of 3,North - East,Main Road,,150000
3,Apartment,Rent,"Defence colony Villas, Defence Colony New Delhi             ",28.56767,77.234012,new delhi,Semi-Furnished,3,Bachelors/Family,Immediately,2400 sqft,2 out of 4,Garden/Park,Defence colony Villas,250000
3,Apartment,Rent,"DDA Flats Pocket K, Sarita Vihar, Mathura Road New Delhi          ",28.557163,77.163665,new delhi,Semi-Furnished,2,Bachelors/Family,1400 sqft,1 out of 4,South,"Garden/Park, Main Road",DDA Flats Pocket K,"48,000"
1,Apartment,Rent,"DDA Jayambey Apartment, New Kondli, Kondli New Delhi            ",Error,Error,new delhi,Furnished,1,Bachelors/Family,378 sqft,4 out of 4,DDA Jayambey Apartment,1,DDA Jayambey Apartment,"10,000"
3,Apartment,Rent,Delhi State apartment New Delhi               ,28.557163,77.163665,new delhi,Semi-Furnished,3,Bachelors/Family,2200 sqft,2 out of 10,3,4,,"70,000"
2,Apartment,Rent,"DDA Flats Vasant Kunj, Vasant Kunj New Delhi            ",28.555319,77.176455,new delhi,Furnished,2,Bachelors/Family,950 sqft,3 out of 4,North - East,Garden/Park,DDA Flats Vasant Kunj,"55,000"
3,Apartment,Rent,"Pragya Apartments, Sector 2 Dwarka New Delhi             ",28.523193,77.205001,new delhi,Semi-Furnished,3,Bachelors/Family,1650 sqft,5 out of 10,North - East,"Garden/Park, Main Road",Pragya Apartments,"55,000"
4,Apartment,Rent,"Samrat Ashok Enclave Apartment, Sector 18 Dwarka New Delhi           ",28.603388,77.082438,new delhi,Semi-Furnished,4,Bachelors/Family,1800 sqft,10 out of 10,North - East,"Garden/Park, Main Road",Samrat Ashok Enclave Apartment,"55,000"
4,Apartment,Rent,"Greater Kailash Builder Floors, Greater Kailash New Delhi            ",Error,Error,new delhi,Unfurnished,4,Bachelors,4700 sqft,Ground out of 4,North - East,"Garden/Park, Pool, Main Road",Greater Kailash Builder Floors,200000
3,Apartment,Rent,"Ashadeep Apartment, Sector 2 Dwarka New Delhi             ",28.596115,77.070472,new delhi,Semi-Furnished,3,Bachelors,1500 sqft,3 out of 10,North - West,Garden/Park,Ashadeep Apartment,"38,000"
3,Apartment,Rent,"Joy Apartment, Sector 2 Dwarka New Delhi             ",28.596583,77.069201,new delhi,Semi-Furnished,3,Family,1750 sqft,10 out of 10,North - East,Garden/Park,Joy Apartment,"42,000"
3,Apartment,Rent,"Joy Apartment, Sector 2 Dwarka New Delhi             ",28.596583,77.069201,new delhi,Semi-Furnished,4,Bachelors/Family,2000 sqft,3 out of 10,North - West,Garden/Park,Joy Apartment,"65,000"
4,Apartment,Rent,"Moti Nagar, Kirti Nagar New Delhi              ",28.647577,77.145644,new delhi,Semi-Furnished,3,Bachelors/Family,1700 sqft,6 out of 27,East,"Garden/Park, Main Road",,110000
Studio,for,Rent,7 Dwarka New Delhi                ,28.5352933,77.1115354,new delhi,Semi-Furnished,1,Bachelors,120 sqft,3 out of 4,East,"Garden/Park, Main Road",,"12,500"
4,Builder,Rent,in Anand Vihar New Delhi               ,28.64673,77.315289,new delhi,Unfurnished,4,Bachelors,280 sqyrd,3 out of 4,East,"Garden/Park, Pool, Main Road",,"80,000"
1,Apartment,Rent,"Jangpura B, Jangpura New Delhi               ",28.583333,77.250198,new delhi,Furnished,1,Bachelors/Family,300 sqft,4 out of 4,West,Garden/Park,,"20,000"
3,Builder,Rent,in New Rajendra Nagar New Delhi              ,28.528041,77.217492,new delhi,Furnished,3,Bachelors,1150 sqft,3 out of 4,Garden/Park,3,,"70,000"
4,Builder,Rent,in Defence Colony New Delhi               ,28.5643603,77.20987194,new delhi,Semi-Furnished,4,Bachelors/Family,2400 sqft,1 out of 4,West,Garden/Park,,300000
2,Apartment,Rent,Vasant Vihar New Delhi                ,28.557827,77.1611168,new delhi,Furnished,2,Bachelors/Family,1500 sqft,1 out of 3,North - East,Main Road,,150000
3,Apartment,Rent,"Defence colony Villas, Defence Colony New Delhi             ",28.56767,77.234012,new delhi,Semi-Furnished,3,Bachelors/Family,Immediately,2400 sqft,2 out of 4,Garden/Park,Defence colony Villas,250000
3,Apartment,Rent,"DDA Flats Pocket K, Sarita Vihar, Mathura Road New Delhi          ",28.557163,77.163665,new delhi,Semi-Furnished,2,Bachelors/Family,1400 sqft,1 out of 4,South,"Garden/Park, Main Road",DDA Flats Pocket K,"48,000"
1,Apartment,Rent,"DDA Jayambey Apartment, New Kondli, Kondli New Delhi            ",Error,Error,new delhi,Furnished,1,Bachelors/Family,378 sqft,4 out of 4,DDA Jayambey Apartment,1,DDA Jayambey Apartment,"10,000"
3,Apartment,Rent,Matiala Extension New Delhi                ,28.580917,77.25999,new delhi,Furnished,2,Bachelors,100 sqyrd,3 out of 4,2,1,,"27,000"
2,Apartment,Rent,"Hauz Khas Apartment, Hauz Khas New Delhi             ",28.557003,77.190061,new delhi,Furnished,2,Bachelors/Family,1800 sqft,1 out of 4,East,Hauz Khas Apartment,Hauz Khas Apartment,"50,000"
1,Apartment,Rent,Block CA Hari Nagar New Delhi              ,28.621212,77.11499333,new delhi,Furnished,1,Bachelors,Immediately,580 sqft,2 out of 4,South - East,,"17,000"
2,Apartment,Rent,Sector 16 Rohini New Delhi               ,28.731372,77.124893,new delhi,Semi-Furnished,2,Bachelors/Family,650 sqft,4 out of 4,East,"Garden/Park, Main Road",,"15,000"
3,Builder,Rent,in Janakpuri New Delhi                ,28.61184275,77.10319157,new delhi,Furnished,3,Family,123 sqm,4 out of 4,North - East,Main Road,,"48,000"
2,Apartment,Rent,Sector 11 Dwarka New Delhi               ,28.55927255,77.06662475,new delhi,Semi-Furnished,2,Bachelors/Family,950 sqft,1 out of 3,East,Garden/Park,,"25,000"
1,Apartment,Rent,"Vasant Apartment, Vasant Vihar New Delhi              ",28.557827,77.161117,new delhi,Furnished,1,Bachelors/Family,45 sqyrd,2 out of 3,Garden/Park,Vasant Apartment,Vasant Apartment,"30,000"
2,Apartment,Rent,"Navjeevan Vihar, Navjeevan Vihar New Delhi              ",28.536917,77.1881324,new delhi,Unfurnished,2,Bachelors,1450 sqft,1 out of 2,East,"Garden/Park, Main Road",Navjeevan Vihar,"85,000"
1,Builder,Rent,in Old Rajinder Nagar New Delhi              ,28.635786,77.18414,new delhi,Furnished,1,Bachelors/Family,50 sqft,2 out of 4,East,"Garden/Park, Main Road",,"30,000"
3,Apartment,Rent,"Sangam Apartment, Chattarpur New Delhi               ",39.03171,-90.26122,new delhi,Furnished,3,Bachelors,1400 sqft,2 out of 4,East,"Garden/Park, Main Road",Sangam Apartment,"55,000"
Studio,for,Rent,Nagar New Delhi                 ,28.64308585,77.21926706,new delhi,Furnished,1,Bachelors/Family,300 sqft,4 out of 4,East,"Garden/Park, Main Road",,"14,000"
4,Apartment,Rent,"Beverly Park Apartments, Sector 22 Dwarka New Delhi            ",43.231757,-77.631374,new delhi,Semi-Furnished,4,Bachelors,2200 sqft,5 out of 8,North - East,"Pool, Garden/Park, Main Road",Beverly Park Apartments,"65,000"
3,Builder,Rent,in Sector 8 Dwarka New Delhi              ,28.592705,77.065989,new delhi,Semi-Furnished,2,Bachelors/Family,1100 sqft,4 out of 4,North - East,"Garden/Park, Main Road",,"40,000"
1,Builder,Rent,"in Rajpur Khurd Extension, Rajpur New Delhi             ",28.493861,77.186508,new delhi,Furnished,1,Bachelors,450 sqft,4 out of 4,East,1,,"25,000"
4,Builder,Rent,in Panchsheel Park New Delhi               ,28.567074,77.242064,new delhi,Unfurnished,5,Bachelors,5000 sqft,4 out of 4,North - East,Garden/Park,,430000
2,Builder,Rent,in Dwarka Mor New Delhi               ,28.592705,77.065989,new delhi,Semi-Furnished,2,Bachelors,600 sqft,4 out of 4,North - West,Main Road,,"20,000"
3,Apartment,Rent,"Naval Technical Officers Apartment, Sector 22 Dwarka New Delhi           ",Error,Error,new delhi,Furnished,2,Bachelors,1800 sqft,8 out of 10,North - East,"Garden/Park, Main Road",Naval Technical Officers Apartment,"70,000"
2,Apartment,Rent,"Acharya Niketan, Mayur Vihar 1 New Delhi             ",28.6083003,77.2947817,new delhi,Furnished,1,Bachelors,700 sqft,2 out of 4,Acharya Niketan,1,Acharya Niketan,"22,000"
1,Apartment,Rent,"DDA Sunveiw Apartments, Sector 11 Dwarka New Delhi            ",39.03171,-90.26122,new delhi,Furnished,1,Bachelors/Family,500 sqft,3 out of 4,East,"Garden/Park, Main Road",DDA Sunveiw Apartments,"22,500"
2,Builder,Rent,in Sector 1 Dwarka New Delhi              ,28.592705,77.065989,new delhi,Furnished,2,Bachelors/Family,950 sqft,1 out of 4,East,"Garden/Park, Main Road",,"25,000"
3,Apartment,Rent,"Gulmohar Apartments, Sector 11 Dwarka New Delhi             ",39.03171,-90.26122,new delhi,Semi-Furnished,3,Bachelors/Family,1700 sqft,3 out of 10,Gulmohar Apartments,3,Gulmohar Apartments,"50,000"
