gender,base_price,food_included,beds_available,city,location,room_type1,room_type1_price,room_type2,room_type2_price,room_type3,room_type3_price,wifi_available,ac_available,food_available,landmark1,landmark2,landmark3,pg_rating,no_of_ratings
Coed,"8,000",,,kolkata,in Baruipur,Single Room,"8,000",,,,,,,,0.5 Km from Madarat Popular Academy,5.8 Km from Chandana Furniture,12.6 Km from Shahid Khudiram Metro Station,,
Girls,"10,000",,,kolkata,in Beleghata,Single Room,"10,000",Twin Sharing,"10,000",,,,,,0.0 Km from Beleghata Deshabandhu High School,0.0 Km from Pantaloons,0.7 Km from Phoolbagan Metro Station,,
Boys,"4,000",,,kolkata,in Nayabad,Twin Sharing,"4,000",Triple Sharing,"4,000",Four Sharing,"4,000",,,,0.3 Km from Netaji Subhash Engineering College,0.7 Km from Nayabad Mini Bus Stand,1.4 Km from Satyajit Ray Metro Station,,
Boys,"5,000",,,kolkata,"in Park Circus, Ballygunge",Twin Sharing,"5,000",,,,,,,,0.1 Km from Army Public School,1.2 Km from Prasad Square,2.4 Km from Rabindra Sadan Metro Station,,
Girls,"4,500",,,kolkata,in Kankurgachi,Twin Sharing,"4,500",,,,,,,,0.1 Km from Bagmari Manicktala Govt Sponsored Higher Secondary School,1.1 Km from Pantaloons,0.8 Km from Bengal Chemical metro station,,
Girls,"3,000",Food Charge extra,,kolkata,in Barrackpore Barasat Road,Single Room,"6,000",Twin Sharing,"4,000",Triple Sharing,"3,000",,,,0.7 Km from Mount Litera Zee School,5.3 Km from Ruiya Industrial Estate,10.9 Km from Metro Station,,
Boys,"6,500",,,kolkata,in Madhyamgram,Single Room,"6,500",,,,,,,,0.5 Km from Delhi Public International School,4.1 Km from Raipur Electronics,6.0 Km from Metro Station,5.0,1 Ratings
Boys,"7,000",,,kolkata,in Jadavpur,Four Sharing,"7,000",,,,,,,,0.1 Km from Jadavpur Vidyapith,0.4 Km from Bandhan Bank Building,2.7 Km from Mahanayak Uttam Kumar metro station,,
Boys,"5,000",,,kolkata,in Bhowanipore,Triple Sharing With AC,"5,000",,,,,,,,0.4 Km from Mitra Institution Bhowanipore Branch,0.2 Km from Bhawanipur,0.1 Km from Netaji Bhawan Metro Station,,
Girls,"2,500",Food Charge extra,,kolkata,in Bansdroni Government Colony,Twin Sharing,"2,500",,,,,,,,0.2 Km from The Assembly Of God Church School,0.2 Km from Max Mall,0.6 Km from Masterda Surya Sen metro station,,
